ln,dob,gn,fn,is_duplicate,Processed_Text
FUNARO J,06-12-1937,F,HARRIET,1,funaro j 06-12-1937 f harriet
DEEP,24-06-1939,M,DETROJA,0,deep 24-06-1939 m detroja
DEEP,07-05-1937,M,PATEL,0,deep 07-05-1937 m patel
MANISH,24-06-1939,M,PANDEY,0,manish 24-06-1939 m pandey
MANISH,07-10-1937,M,PATEL,0,manish 07-10-1937 m patel
MANISH ,11-03-1947,M,CHOPRA,1,manish 11-03-1947 m chopra
PRIYANKA ,25-10-1953,F,GAMBHIR,0,priyanka 25-10-1953 f gambhir
PRIYANKA ,01-03-1968,F,CHOPRA ,0,priyanka 01-03-1968 f chopra
PRIYANKA ,02-09-1968,F,SHARMA,0,priyanka 02-09-1968 f sharma
DHONI ,07-10-1937,M,SINGH ,0,dhoni 07-10-1937 m singh
DHONI ,06-01-1937,M,YADAV,0,dhoni 06-01-1937 m yadav
DHONI ,16-04-1937,M,GUPTA,0,dhoni 16-04-1937 m gupta
DEEPIKA ,15-09-1955,F,AJIT,0,deepika 15-09-1955 f ajit
DEEPIKA ,25-10-1953,F,PADUKON,0,deepika 25-10-1953 f padukon
DEEPIKA ,10-12-1960,F,DAS,0,deepika 10-12-1960 f das
RAJ,02-09-1968,M,SANGANI,0,raj 02-09-1968 m sangani
RAJ,03-05-1964,M,PATEL,0,raj 03-05-1964 m patel
RAJ,10-05-1945,M,SHARMA,0,raj 10-05-1945 m sharma
RUSHI ,10-05-1945,M,PANCHAL,0,rushi 10-05-1945 m panchal
RUSHI ,10-05-1945,M,PATEL,0,rushi 10-05-1945 m patel
SHAILEE ,09-02-1945,F,PATEL,0,shailee 09-02-1945 f patel
SHAILEE ,19-02-1962,F,SINGH ,0,shailee 19-02-1962 f singh
VIDYA,15-05-1963,F,BALAN,0,vidya 15-05-1963 f balan
VIDYA,09-10-1962,F,KHAN,0,vidya 09-10-1962 f khan
VIDYA,08-02-1962,F,OBEROI,0,vidya 08-02-1962 f oberoi
VIDYA,19-02-1962,F,AGATE ,0,vidya 19-02-1962 f agate
SHUSHANT ,17-06-1948,M,RAJPUT,0,shushant 17-06-1948 m rajput
SHUSHANT ,15-06-1948,M,SINGH ,0,shushant 15-06-1948 m singh
REAH,21-02-1962,F,CHAKRABORTY,0,reah 21-02-1962 f chakraborty
REAH,22-03-1962,F,CHATERJEE,0,reah 22-03-1962 f chaterjee
SIDDHARTH ,16-12-1944,M,CHATERJEE,0,siddharth 16-12-1944 m chaterjee
SIDDHARTH ,26-10-1945,M,KUMAR,0,siddharth 26-10-1945 m kumar
PRERNA ,17-11-1945,F,CHOPRA ,0,prerna 17-11-1945 f chopra
PRERNA ,07-10-1937,F,BHENDARKAR,0,prerna 07-10-1937 f bhendarkar
ANSHUL,20-10-1953,F,SHARMA,0,anshul 20-10-1953 f sharma
ANSHUL,25-10-1953,M,SINGH ,0,anshul 25-10-1953 m singh
